FID,GEONAME,GENERIC,X,Y
4521,Lick Peak,Peak,-117.9158333,52.4466666
4522,Lieu historique national du Canada Cave and Basin,National Historic Site,-115.59139,51.1683329999999
4523,Lieu historique national du Canada Jasper House,National Historic Site,-117.9805556,53.1383332999999
4524,Lieu historique national du Canada Rocky Mountain House,National Historic Site,-114.96389,52.369444
4525,Lieu historique national du Canada de l'Auberge-de-Ski-Skoki,National Historic Site,-116.075,51.5222219999999
4526,Lieu historique national du Canada de la Station-d'Ã‰tude-des-Rayons-Cosmiques-du-Mont-Sulphur,National Historic Site,-115.57778,51.146667
4527,Lieu historique national du Canada du Centre-d'Accueil-du-Parc-Jasper,National Historic Site,-118.08028,52.877222
4528,Lieu historique national du Canada du Col-Athabasca,National Historic Site,-118.18889,52.383333
4529,Lieu historique national du Canada du Col-Howse,National Historic Site,-116.89139,51.814444
4530,Lieu historique national du Canada du Col-Kicking Horse,National Historic Site,-116.284719999999,51.452778
4531,Lieu historique national du Canada du Col-Yellowhead,National Historic Site,-118.46111,52.8916669999999
4532,Lieu historique national du Canada du Lac-La Grenouille,National Historic Site,-110.276939999999,53.919167
4533,Lieu historique national du Canada du MusÃ©e-du-Parc-Banff,National Historic Site,-115.57222,51.173333
4534,Lieu historique national du Canada du Premier-Puits-de-PÃ©trole-de-l'Ouest-Canadien,National Historic Site,-113.9825,49.0716669999999
4535,Lieu historique national du Canada du Ranch-Bar U,National Historic Site,-114.244439999999,50.420278
4536,Lieu historique national du Canada du Refuge-du-Col-Abbot,National Historic Site,-116.289169999999,51.3636109999999
4537,Lightbulb Lake,Lake,-116.32361,54.869444
4538,Lightning Creek,Creek,-118.2275,56.5805555999999
4539,Lignite Creek,Creek,-118.3952778,55.005
4540,Lillabo Lake,Lake,-110.0255556,58.8786111
4541,Lillian Lake,Lake,-115.250555599999,50.8636111
4542,Lillian Lake,Lake,-111.7344444,57.4333333
4543,Lilliput Mountain,Mountain,-116.411944399999,51.5513888999999
4544,Lily Creek,Creek,-114.815555599999,55.4127778
4545,Lily Lake,Lake,-113.3772222,53.9488889
4546,Lily Lake,Lake,-114.665,53.7069443999999
4547,Lily Lake,Lake,-114.7677778,55.4841667
4548,Lime Kiln Lake,Lake,-113.991944399999,49.4202778
4549,Limestone Creek,Creek,-115.4072222,51.9936111
4550,Limestone Creek,Creek,-112.366944399999,53.9191666999999
4551,Limestone Lake,Lake,-112.5080556,53.8888888999999
4552,Limestone Mountain,Mountain,-115.1572222,50.8575
4553,Limestone Mountain,Mountain,-115.431111099999,51.9386111
4554,Limon Lake,Lake,-111.3225,58.4236111
4555,Linaria,Locality,-114.1505556,54.2969444
4556,Lincoln,Locality,-113.511111099999,54.6755556
4557,Lindale,Locality,-114.658888899999,53.25
4558,Lindbergh,Hamlet,-110.6727778,53.8875
4559,Lindbrook,Locality,-112.807222199999,53.3961110999999
4560,Linden,Village,-113.488333299999,51.5905556
4561,Lindgren Lake,Lake,-110.216669999999,59.983333
4562,Line Island,Island,-112.8580556,53.67
4563,Line Lake,Lake,-110.398611099999,57.7299999999999
4564,Lineham Creek,Creek,-114.322777799999,50.6655555
4565,Lineham Creek,Creek,-114.010277799999,49.0566667
4566,Lineham Lakes,Lakes,-114.068055599999,49.0766666
4567,Lingrell Creek,Creek,-119.844999999999,54.7783333
4568,Lingrell Lake,Lake,-119.8213889,54.7305555
4569,Link Creek,Creek,-114.605,50.7280555
4570,Link Lake,Lake,-112.3327778,51.7866666999999
4571,Linnet Lake,Lake,-113.905277799999,49.0616666
4572,Linquist Coulee,Coulee,-111.363333299999,49.9788889
4573,Linton Lake,Lake,-116.482777799999,58.1694444999999
4574,Lion Peak,Peak,-116.659444399999,52.0733333
4575,Lioness Peak,Peak,-116.658888899999,52.0733333
4576,Lipalian Mountain,Mountain,-116.0972222,51.4269443999999
4577,Lisburn,Locality,-114.795,53.8536111
4578,Listening Mountain,Mountain,-117.7325,52.2463888999999
4579,Lister Lake,Lake,-110.1555556,59.7122223
4580,Little Alberta,Mountain,-117.438055599999,52.2738889
4581,Little Baker Lake,Lake,-116.039166699999,51.4919445
4582,Little Bear Lake,Lake,-110.2977778,54.5519444999999
4583,Little Bear Lake,Lake,-111.4547222,55.1022222
4584,Little Beaver Creek,Creek,-114.991111099999,52.5444444999999
4585,Little Beaver Lake,Lake,-112.979166699999,52.7725
4586,Little Beaver Lake,Lake,-112.028888899999,55.1697222999999
4587,Little Beaver Lake,Lake,-112.3105556,54.5947222
4588,Little Berland River,River,-118.230277799999,53.7358333
4589,Little Blue Lake,Lake,-116.43889,54.9716669999999
4590,Little Bow Lake,Lake,-112.673888899999,50.1944445
